type,caps_text,text_len,excl_text,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
1,2,2499,0,12,10,9,14,8,11,4,15,20,18
1,3,915,0,7,4,2,4,2,3,2,7,9,7
1,2,4178,2,0,5,2,4,8,4,7,9,7,22
1,1,1878,0,1,8,0,1,5,2,2,8,4,12
1,4,1545,0,2,5,2,2,2,3,1,7,7,11
1,0,1551,0,1,5,2,3,7,3,3,9,6,18
1,12,3457,0,6,9,3,8,6,5,2,18,17,25
1,3,1899,0,2,8,0,2,5,2,3,8,6,15
1,0,1985,0,1,5,0,4,5,2,2,10,5,13
1,1,1506,0,1,2,1,1,5,0,1,8,2,12
1,6,1747,0,0,8,0,0,4,3,1,10,4,16
1,9,3262,0,8,10,5,7,10,3,5,14,11,27
1,8,1853,0,1,6,1,3,2,0,1,14,7,16
1,2,1768,0,3,8,1,3,1,6,1,7,8,8
1,0,952,0,1,4,2,2,4,1,3,3,3,8
1,8,2664,0,2,5,1,4,1,4,0,9,8,11
1,8,2112,0,5,7,4,4,4,5,4,10,12,14
1,2,1824,0,5,9,3,3,8,5,7,11,9,17
1,0,3095,0,9,8,2,7,3,3,0,12,12,14
1,1,2018,0,5,3,2,5,4,4,2,13,11,17
1,2,1502,0,3,11,1,3,8,4,5,11,8,18
1,3,3536,0,5,8,3,7,3,9,0,16,25,26
1,7,1874,0,0,3,0,4,2,1,1,4,6,6
1,1,1380,0,2,5,4,2,3,2,2,6,5,11
1,8,3388,0,10,8,2,15,4,11,3,20,20,17
1,6,2577,0,1,6,1,2,5,1,5,20,3,26
1,3,1970,0,1,5,0,2,7,2,3,8,4,17
1,3,2285,0,2,6,2,5,1,4,2,7,10,16
1,6,3157,0,4,8,0,4,3,2,0,4,6,14
1,3,1396,3,5,4,2,4,8,4,4,6,7,16
1,4,3157,0,7,6,1,15,2,6,2,11,22,17
1,2,1174,0,2,7,0,1,2,2,1,6,4,11
1,1,1633,0,1,7,1,4,10,5,4,7,6,17
1,2,1723,0,2,7,1,5,2,5,5,12,10,11
1,0,1288,0,1,7,0,1,6,4,3,4,4,9
1,5,2018,0,8,10,3,4,9,2,5,11,9,22
1,3,3155,0,6,7,3,7,5,7,4,13,19,21
1,1,1617,0,3,5,6,8,4,8,1,9,15,9
1,9,1235,0,3,6,1,2,5,3,3,8,4,13
1,0,2239,0,5,5,2,7,3,6,1,9,12,16
1,1,1542,0,7,5,0,6,2,2,1,4,12,8
1,3,1586,0,2,9,3,1,9,1,2,10,5,18
1,6,1268,0,5,2,5,6,0,2,0,6,7,7
1,2,1533,0,2,11,0,0,5,2,3,10,5,13
1,3,2198,0,4,10,3,4,10,5,6,11,10,21
1,3,2554,0,12,5,7,9,3,5,3,6,17,17
1,4,1233,0,3,6,2,2,2,4,1,2,8,7
1,0,1376,0,1,4,3,2,3,4,1,5,6,6
1,6,2491,0,5,9,4,5,6,4,2,13,10,13
1,2,1745,0,4,4,1,4,3,4,2,7,12,12
1,5,1899,0,2,4,5,6,4,5,3,8,10,13
1,2,1456,0,1,8,0,1,1,1,1,7,3,10
1,8,2671,0,7,14,4,13,6,8,5,13,16,17
1,0,1952,0,1,5,0,0,5,3,2,8,2,13
1,4,3979,0,2,10,4,12,4,8,4,19,18,22
1,10,1466,0,4,9,1,1,4,3,2,11,5,14
1,3,1269,0,1,6,0,3,7,3,6,5,4,14
1,1,2913,0,6,6,0,6,4,5,1,16,12,17
1,7,1559,0,5,4,3,4,2,4,2,11,6,7
1,21,1520,0,5,5,3,8,1,3,2,4,10,10
1,2,3104,0,2,12,2,5,6,3,2,11,11,26
1,1,1282,0,1,5,0,4,5,0,1,8,3,13
1,1,1861,0,1,9,2,0,6,1,6,13,4,21
1,11,2002,0,9,10,3,8,4,5,6,10,15,16
1,5,1528,0,3,3,2,5,2,3,1,3,8,5
1,0,2149,0,2,6,1,6,6,2,3,13,5,16
1,16,3104,0,6,7,1,6,5,6,2,16,17,28
1,7,1222,0,2,3,1,4,1,3,1,3,5,12
1,2,984,0,1,3,0,0,2,3,1,5,6,6
1,3,1569,0,4,7,2,2,2,2,1,7,5,11
1,11,3049,0,14,11,7,16,3,14,5,9,22,14
1,0,1317,0,0,2,0,0,3,0,2,2,0,8
1,5,1556,0,4,5,2,6,3,3,2,5,9,14
1,6,1328,0,2,2,1,2,1,5,0,4,7,7
1,2,2323,0,8,6,3,4,6,5,1,15,14,18
1,3,3121,0,4,11,3,7,6,2,3,16,13,28
1,2,1438,0,3,4,0,4,2,2,0,6,5,7
1,3,1896,0,0,7,1,1,8,1,4,11,1,15
1,2,2382,0,5,5,2,9,5,8,3,14,10,21
1,7,1170,0,3,1,1,2,1,5,0,6,8,5
1,1,1027,0,3,6,3,2,4,4,6,6,5,9
1,8,3721,0,11,9,7,16,5,12,3,15,28,23
1,2,1845,0,6,5,3,8,3,6,2,8,13,8
1,3,1586,0,2,9,3,1,9,1,2,10,5,18
1,8,3302,0,2,8,1,1,5,2,2,16,5,17
1,2,1204,0,1,6,1,2,3,0,2,10,1,10
1,3,878,0,0,4,0,1,1,0,1,5,1,8
1,2,3579,0,9,12,2,8,5,9,3,17,19,22
1,9,2189,0,4,5,1,4,1,3,0,8,9,11
1,0,1821,0,9,9,3,8,10,5,7,13,11,19
1,2,1731,0,3,5,2,5,1,1,2,5,5,8
1,1,2363,0,6,8,0,4,7,5,3,8,13,22
1,1,1163,0,0,5,1,2,6,2,4,8,2,12
1,0,1108,0,2,5,1,3,4,2,2,8,6,9
1,0,1896,0,6,9,2,11,5,8,2,15,17,16
1,1,868,0,1,2,1,0,2,2,2,5,2,8
1,0,2450,0,4,7,1,6,3,3,3,6,10,23
1,2,2263,0,5,10,0,5,2,2,3,9,10,7
1,0,1368,0,2,6,3,5,5,2,5,3,7,14
1,1,1584,0,3,2,2,5,0,2,0,6,6,11
1,1,1930,0,3,4,2,6,3,6,2,10,10,14
1,0,2444,0,9,12,3,10,10,7,4,12,13,15
1,2,3010,0,4,6,1,2,6,3,4,9,9,16
1,6,1226,0,0,5,1,1,1,0,0,6,3,8
1,7,3199,0,3,15,3,4,14,8,9,19,8,32
1,2,2622,0,7,8,3,6,5,5,3,14,9,18
1,2,1568,0,1,5,0,2,1,4,0,1,7,7
1,0,1692,4,4,6,4,5,2,1,3,8,9,12
1,0,2137,0,3,4,3,3,2,4,3,7,5,12
1,0,931,0,0,3,0,1,1,0,1,2,2,8
1,8,1890,0,2,12,1,1,8,2,4,9,6,16
1,4,2967,0,9,6,3,16,2,12,4,7,18,13
1,10,2635,0,3,5,1,1,2,3,0,12,8,14
1,2,1255,0,1,4,1,2,3,3,3,4,2,12
1,2,2132,0,2,5,0,3,1,2,2,17,4,16
1,8,1341,0,2,4,1,2,2,3,0,7,5,8
1,1,1420,0,2,7,3,2,7,4,4,10,8,15
1,0,2629,0,8,9,3,8,5,4,3,12,17,23
1,16,2479,0,3,10,1,4,4,6,2,9,13,20
1,0,1821,0,1,6,2,2,3,4,2,9,7,11
1,7,3532,0,11,5,6,18,2,10,1,12,24,15
1,1,2059,0,5,5,6,10,1,9,1,6,15,6
1,2,1946,0,3,7,1,4,3,1,2,6,6,12
1,3,3449,0,6,11,0,4,8,5,3,17,15,20
1,1,2144,0,3,4,2,7,2,6,2,9,12,10
1,0,1338,0,0,7,1,0,7,1,4,4,0,13
1,3,2688,0,4,7,2,7,4,7,4,15,11,18
1,8,1413,0,9,4,4,4,3,3,2,14,11,12
1,16,2317,0,3,6,0,3,3,3,2,6,3,15
1,3,2276,0,3,10,0,5,10,3,5,17,6,23
1,4,2809,0,10,12,4,10,3,7,3,14,14,21
1,1,1204,0,3,5,1,2,4,3,3,5,3,8
1,1,2847,0,5,13,6,7,13,7,7,18,11,31
1,5,2294,0,8,8,5,8,3,7,2,8,23,12
1,0,1479,0,2,5,0,2,2,3,3,8,7,12
1,6,3244,0,5,4,2,8,3,4,2,15,8,18
1,1,1296,0,0,1,0,0,0,1,0,3,1,5
1,0,1164,0,4,1,1,2,3,2,2,3,5,6
1,2,2910,0,8,9,4,10,6,6,3,14,16,19
1,2,1762,0,1,5,1,3,2,5,2,10,7,11
1,2,1078,0,4,2,2,3,2,2,1,2,5,7
1,3,2082,0,5,8,2,6,6,6,5,12,8,19
1,9,1873,0,1,10,1,5,3,2,1,15,8,21
1,2,2138,0,5,12,4,6,7,5,3,10,12,15
1,6,1061,0,0,5,1,2,3,2,2,6,3,7
1,6,1073,0,1,3,0,1,1,3,1,7,5,8
1,0,1386,0,5,5,2,5,6,3,3,6,5,12
1,18,1909,0,0,0,0,1,0,0,0,7,2,10
1,3,849,0,4,4,1,3,1,3,0,1,8,3
1,1,1477,0,14,7,3,14,2,8,3,5,16,9
1,1,2844,0,13,11,5,12,8,7,7,15,16,22
1,2,1636,0,1,8,0,4,3,5,3,9,9,9
